"filename", "language", "Properties", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\user\ManageUsers.jsx", "JavaScript JSX", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 12, 193
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\windows\WindowManagementComponent.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 14, 118
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\dev\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 9, 70
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\dev\index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\dev\palette.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\dev\previews.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\dev\useInitial.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 2, 16
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 3, 24
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\form\Form.jsx", "JavaScript JSX", 0, 0, 0, 218, 0, 0, 0, 0, 0, 4, 21, 243
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\index\IndexPage.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 6, 74
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\index\UserIndex.jsx", "JavaScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 14, 17, 162
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\index\ZjaUserIndex.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\index\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\login\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 175, 0, 0, 0, 0, 0, 8, 14, 197
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\login\LoginPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\login\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 211, 0, 0, 0, 0, 0, 7, 22, 240
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\login\RegisterPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\system\ReservePage.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 16, 19, 176
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\pages\system\ReservePage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\router\webrouter.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\store\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 8, 6, 36
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\utils\axios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"Total", "-", 1, 22058, 131, 4395, 12, 33, 99, 98, 20, 748, 631, 28226
